0.10,2.63,84.27,1.0000
0.10,2.61,82.03,1.0000
0.10,2.61,79.26,1.0000
0.10,2.61,76.13,1.0000
0.09,2.62,73.29,1.0000
0.09,2.63,71.92,1.0000
0.09,2.64,72.23,1.0000
0.09,2.65,73.70,1.0000
0.09,2.67,75.30,1.0000
0.10,2.67,76.04,1.0000
0.11,2.66,75.94,1.0000
0.13,2.64,75.29,1.0000
0.14,2.61,74.35,1.0000
0.15,2.58,73.22,1.0000
0.15,2.56,72.01,1.0000
0.14,2.55,70.97,1.0000
0.13,2.55,70.38,1.0000
0.13,2.55,70.47,1.0000
0.12,2.55,71.01,1.0000
0.12,2.56,71.79,1.0000
0.11,2.57,72.54,1.0000
0.10,2.58,72.67,1.0000
0.10,2.59,71.70,1.0000
0.09,2.61,69.67,1.0000
0.09,2.62,67.30,1.0000
0.08,2.63,65.63,1.0000
0.08,2.64,64.98,1.0000
0.08,2.64,65.24,1.0000
0.08,2.65,66.23,1.0000
0.09,2.65,68.10,1.0000
0.09,2.64,70.95,1.0000
0.10,2.63,74.73,1.0000
0.11,2.60,78.76,1.0000
0.12,2.58,81.95,1.0000
0.13,2.57,83.99,1.0000
0.14,2.56,84.77,1.0000
0.14,2.54,84.09,1.0000
0.15,2.53,81.91,1.0000
0.15,2.51,79.13,1.0000
0.16,2.50,76.80,1.0000
0.16,2.50,76.25,1.0000
0.17,2.48,78.86,1.0000
0.19,2.45,83.13,1.0000
0.22,2.42,87.63,1.0000
0.24,2.37,91.25,1.0000
0.26,2.32,92.38,1.0000
0.28,2.28,91.22,1.0000
0.09,2.64,60.65,1.0000
0.09,2.63,65.29,1.0000
0.10,2.63,70.33,1.0000
0.10,2.65,74.50,1.0000
0.11,2.65,77.44,1.0000
0.11,2.62,79.01,1.0000
0.11,2.57,79.00,1.0000
0.11,2.54,77.29,1.0000
0.10,2.51,74.53,1.0000
0.09,2.52,71.18,1.0000
0.08,2.55,67.85,1.0000
0.07,2.61,65.30,1.0000
0.06,2.65,63.41,1.0000
0.06,2.69,62.49,1.0000
0.06,2.72,63.55,1.0000
0.07,2.74,67.33,1.0000
0.08,2.75,71.45,1.0000
0.09,2.75,73.97,1.0000
0.11,2.71,70.52,1.0000
0.11,2.69,68.71,1.0000
0.11,2.66,66.68,1.0000
0.11,2.64,64.09,1.0000
0.11,2.65,61.94,1.0000
0.10,2.67,61.71,1.0000
0.09,2.70,63.88,1.0000
0.09,2.72,66.80,1.0000
0.08,2.74,68.03,1.0000
0.08,2.72,66.76,1.0000
0.09,2.68,64.04,1.0000
0.10,2.64,62.25,1.0000
0.11,2.62,62.49,1.0000
0.11,2.61,65.52,1.0000
0.12,2.60,70.52,1.0000
0.13,2.59,74.70,1.0000
0.14,2.57,75.65,1.0000
0.15,2.55,74.30,1.0000
0.17,2.52,72.44,1.0000
0.10,2.65,60.37,1.0000
0.10,2.63,62.43,1.0000
0.10,2.62,64.55,1.0000
0.09,2.61,66.09,1.0000
0.09,2.61,66.66,1.0000
0.08,2.63,66.08,1.0000
0.07,2.65,64.72,1.0000
0.07,2.67,63.04,1.0000
0.07,2.69,61.45,1.0000
0.08,2.68,60.14,1.0000
0.08,2.66,59.14,1.0000
0.07,2.65,60.23,1.0000
0.06,2.67,62.73,1.0000
0.05,2.68,65.56,1.0000
0.04,2.70,67.59,1.0000
0.03,2.71,67.59,1.0000
0.03,2.73,66.89,1.0000
0.03,2.74,67.68,1.0000
0.04,2.75,71.28,1.0000
0.05,2.75,75.75,1.0000
0.05,2.75,78.63,1.0000
0.06,2.74,79.29,1.0000
0.06,2.73,78.08,1.0000
0.06,2.71,74.74,1.0000
0.06,2.71,70.77,1.0000
0.05,2.72,68.08,1.0000
0.04,2.74,68.00,1.0000
0.04,2.76,69.81,1.0000
0.05,2.78,71.63,1.0000
0.05,2.78,72.71,1.0000
0.05,2.78,72.97,1.0000
